job_id,industry,job_title,experience_level,employment_type,salary_min_usd,salary_max_usd,posted_date,company_size
57,Education,Data Analyst,Entry,Internship,56348,123497,16-11-2023,Mid
58,Retail,ML Engineer,Senior,Full-time,69159,139847,11-02-2025,Large
59,Tech,AI Researcher,Senior,Remote,78305,162525,21-06-2025,Large
60,Finance,AI Product Manager,Mid,Internship,64238,115477,25-09-2023,Startup
61,Finance,Data Analyst,Senior,Remote,53583,148644,27-06-2024,Mid
62,Retail,AI Product Manager,Entry,Remote,50457,126635,08-05-2024,Startup
63,Retail,Computer Vision Engineer,Mid,Internship,97883,172449,26-10-2024,Large
64,E-commerce,AI Product Manager,Entry,Remote,94965,141198,17-02-2025,Startup
65,E-commerce,AI Researcher,Entry,Internship,81202,154117,06-01-2025,Startup
66,Retail,AI Researcher,Mid,Contract,106117,199125,19-12-2023,Large
67,Automotive,AI Product Manager,Senior,Internship,137229,193525,08-04-2024,Large
68,Retail,Data Analyst,Senior,Remote,40995,54162,21-12-2024,Startup
69,Healthcare,Data Analyst,Mid,Full-time,129140,193460,09-12-2023,Mid
70,Education,Data Analyst,Mid,Full-time,86690,120765,15-06-2025,Mid
71,Retail,ML Engineer,Entry,Internship,85816,149983,12-03-2025,Mid
72,Healthcare,Quant Researcher,Senior,Remote,60805,99890,12-02-2024,Startup
73,Education,Data Analyst,Senior,Remote,118377,137651,02-05-2025,Large
74,Automotive,NLP Engineer,Mid,Internship,81382,175328,28-11-2023,Large
75,Automotive,ML Engineer,Senior,Remote,132555,209536,09-09-2025,Startup
76,Automotive,AI Researcher,Mid,Contract,54185,86768,06-12-2023,Mid
77,E-commerce,AI Researcher,Mid,Internship,101020,182230,03-07-2025,Startup
78,E-commerce,NLP Engineer,Mid,Internship,49529,68621,21-02-2024,Startup
79,Tech,Quant Researcher,Entry,Contract,88756,103530,12-10-2024,Startup
80,Healthcare,ML Engineer,Senior,Internship,108574,194850,20-01-2025,Large
81,Education,AI Researcher,Mid,Internship,111184,166588,03-08-2025,Large
82,Finance,Data Analyst,Entry,Full-time,120456,210505,14-01-2024,Large
83,Finance,AI Product Manager,Entry,Internship,86740,124608,17-09-2025,Mid
84,Education,Data Analyst,Entry,Full-time,78116,122008,25-04-2025,Mid
85,E-commerce,Computer Vision Engineer,Mid,Contract,42962,75277,01-11-2024,Startup
86,Tech,Data Analyst,Senior,Full-time,51640,64834,21-03-2024,Large
87,Education,Quant Researcher,Mid,Contract,98118,167073,10-09-2024,Large
88,Finance,Quant Researcher,Mid,Internship,140819,222611,16-11-2023,Mid
89,Finance,AI Researcher,Entry,Internship,82496,127505,23-03-2025,Startup
90,Finance,AI Researcher,Entry,Internship,124249,174855,17-10-2023,Startup
91,Automotive,NLP Engineer,Mid,Contract,81426,145890,19-10-2023,Mid
92,Tech,Data Scientist,Entry,Internship,51104,130405,21-03-2025,Large
93,Finance,NLP Engineer,Entry,Remote,143177,155682,26-08-2025,Startup
94,Education,NLP Engineer,Mid,Remote,139393,162837,13-07-2025,Large
95,Healthcare,ML Engineer,Entry,Full-time,111746,137892,10-10-2024,Mid
96,Healthcare,Computer Vision Engineer,Senior,Full-time,107083,124486,09-08-2025,Startup
97,Education,AI Researcher,Senior,Full-time,126865,190621,15-11-2024,Startup
98,Finance,Computer Vision Engineer,Mid,Contract,127896,227744,18-12-2023,Large
99,Healthcare,Data Analyst,Entry,Contract,133789,170501,22-05-2024,Large
100,Retail,Computer Vision Engineer,Mid,Contract,126422,179630,03-09-2025,Mid
101,Healthcare,ML Engineer,Entry,Contract,53156,131761,22-07-2025,Startup
102,Retail,Data Scientist,Senior,Internship,76985,169306,09-08-2025,Large
103,Education,Quant Researcher,Entry,Full-time,129308,160166,26-02-2025,Mid
104,Finance,Data Scientist,Senior,Internship,112263,190554,21-03-2025,Mid
105,E-commerce,NLP Engineer,Entry,Contract,147332,158887,19-11-2024,Mid
106,Automotive,Computer Vision Engineer,Mid,Full-time,54559,121736,04-04-2025,Mid
107,Healthcare,Computer Vision Engineer,Senior,Remote,91427,154726,03-10-2023,Mid
108,Tech,AI Product Manager,Senior,Contract,120983,167455,30-03-2025,Large
109,Education,ML Engineer,Mid,Contract,108083,168433,06-02-2024,Large
110,Healthcare,Quant Researcher,Mid,Contract,43248,86711,20-06-2024,Mid
111,Education,AI Researcher,Entry,Remote,73459,87186,08-09-2024,Large
112,Healthcare,AI Researcher,Mid,Contract,94345,157493,24-07-2024,Large
113,Healthcare,NLP Engineer,Mid,Full-time,113621,179602,28-08-2024,Mid
114,Finance,Data Scientist,Entry,Full-time,43828,137950,20-05-2025,Mid
115,Tech,Quant Researcher,Senior,Remote,118046,186961,17-06-2025,Startup
116,Education,NLP Engineer,Entry,Full-time,143236,210339,17-03-2024,Large
117,Automotive,Data Analyst,Entry,Contract,70478,154317,07-05-2025,Large
118,E-commerce,Data Analyst,Mid,Internship,69403,123368,05-04-2024,Startup
119,Automotive,NLP Engineer,Mid,Contract,143437,196807,01-01-2024,Mid
120,Retail,NLP Engineer,Entry,Contract,59290,84926,10-08-2025,Mid
121,Retail,AI Researcher,Mid,Remote,124112,141184,08-10-2024,Mid
122,Finance,AI Researcher,Entry,Contract,93411,137526,10-07-2024,Large
123,Finance,Computer Vision Engineer,Senior,Contract,98592,132404,08-10-2024,Startup
124,E-commerce,Quant Researcher,Mid,Internship,109693,136678,31-10-2023,Large
125,E-commerce,NLP Engineer,Mid,Full-time,128381,173902,03-08-2025,Startup
126,Tech,Computer Vision Engineer,Mid,Remote,114132,129565,07-04-2025,Large
127,Finance,Quant Researcher,Mid,Contract,117985,188287,10-03-2024,Large
128,Finance,AI Product Manager,Entry,Remote,98649,172840,22-11-2024,Large
129,Retail,NLP Engineer,Mid,Remote,132259,223631,31-12-2024,Mid
130,Education,Data Analyst,Senior,Internship,92116,122876,11-03-2025,Startup
131,E-commerce,NLP Engineer,Entry,Internship,111421,135658,23-09-2024,Large
132,Healthcare,NLP Engineer,Mid,Remote,64185,77841,09-02-2025,Large
133,Automotive,AI Researcher,Senior,Contract,114287,213324,23-04-2025,Mid
134,Automotive,AI Researcher,Senior,Internship,67967,136114,01-09-2025,Mid
135,Healthcare,Data Analyst,Entry,Full-time,119699,195649,29-02-2024,Mid
136,Finance,NLP Engineer,Senior,Remote,105893,197119,30-12-2024,Mid
137,Education,Computer Vision Engineer,Mid,Full-time,144509,185639,02-09-2024,Mid
138,Finance,AI Product Manager,Senior,Contract,125979,196585,05-03-2024,Startup
139,Healthcare,AI Product Manager,Mid,Full-time,96804,161412,14-01-2024,Large
140,Retail,Data Analyst,Senior,Contract,145387,192153,26-08-2025,Startup
141,Automotive,Quant Researcher,Entry,Contract,44646,126597,07-06-2025,Large
142,Healthcare,ML Engineer,Mid,Remote,61799,124735,14-05-2024,Startup
143,Healthcare,AI Product Manager,Entry,Remote,142495,193478,04-04-2025,Large
144,Education,Data Scientist,Mid,Contract,52111,123116,05-01-2024,Startup
145,Retail,Data Analyst,Entry,Contract,68548,93154,30-07-2024,Mid
146,Education,ML Engineer,Entry,Contract,82795,123262,10-03-2025,Large
147,E-commerce,AI Researcher,Entry,Internship,94239,122634,17-08-2025,Mid
148,Retail,NLP Engineer,Mid,Remote,64790,95818,19-12-2023,Large
149,E-commerce,Data Analyst,Senior,Remote,133389,145372,17-09-2025,Startup
150,Automotive,Computer Vision Engineer,Senior,Internship,112241,126511,28-12-2024,Mid
151,Education,AI Researcher,Mid,Remote,66955,108050,08-03-2024,Startup
152,E-commerce,ML Engineer,Mid,Internship,84480,167599,21-03-2024,Mid
153,Finance,AI Product Manager,Mid,Contract,74795,159585,14-12-2023,Mid
154,Education,AI Researcher,Mid,Internship,128089,227314,27-07-2024,Startup
155,Healthcare,NLP Engineer,Mid,Contract,59563,117049,04-06-2024,Mid
156,Automotive,Data Analyst,Senior,Remote,124014,215657,23-11-2024,Startup
157,Education,Computer Vision Engineer,Senior,Internship,82670,112083,23-06-2025,Startup
158,Education,NLP Engineer,Senior,Remote,99523,190227,02-01-2025,Mid
159,Finance,Quant Researcher,Mid,Contract,63560,115745,14-09-2025,Large
160,Education,Data Analyst,Mid,Contract,96246,127172,16-03-2025,Large
161,Education,Quant Researcher,Mid,Internship,133411,230008,05-02-2024,Mid
162,Healthcare,NLP Engineer,Senior,Contract,44241,67386,04-12-2023,Large
163,Education,ML Engineer,Mid,Internship,42621,93559,16-03-2025,Startup
164,Finance,NLP Engineer,Entry,Remote,75069,172405,06-08-2025,Mid
165,Healthcare,AI Product Manager,Mid,Full-time,110005,156652,14-04-2025,Large
166,Healthcare,Computer Vision Engineer,Senior,Internship,127733,156796,16-09-2025,Large
167,Tech,Computer Vision Engineer,Senior,Internship,81580,132667,16-04-2024,Startup
168,Automotive,Data Analyst,Entry,Internship,46318,73935,18-10-2024,Mid
169,Finance,Data Analyst,Entry,Full-time,83360,173396,11-12-2024,Startup
170,E-commerce,ML Engineer,Mid,Remote,50841,149011,02-05-2025,Mid
171,E-commerce,AI Product Manager,Senior,Internship,84196,183723,15-03-2025,Startup
172,Tech,AI Researcher,Mid,Contract,92704,181511,25-05-2024,Mid
173,Tech,Data Scientist,Entry,Internship,61245,133612,31-01-2024,Mid
174,Retail,AI Product Manager,Mid,Internship,91839,153147,01-08-2024,Large
175,Tech,AI Product Manager,Entry,Contract,65330,149814,24-01-2025,Mid
176,Automotive,NLP Engineer,Mid,Contract,142316,210339,21-01-2025,Mid
177,Finance,Quant Researcher,Mid,Internship,86369,153860,29-04-2025,Mid
178,Healthcare,AI Product Manager,Senior,Full-time,123834,203953,01-08-2025,Startup
179,Automotive,AI Product Manager,Mid,Remote,86874,127959,07-10-2024,Mid
180,Retail,AI Researcher,Entry,Internship,91853,143054,22-02-2024,Startup
181,E-commerce,Data Analyst,Senior,Remote,115282,183026,23-05-2025,Large
182,Finance,NLP Engineer,Mid,Internship,100075,181375,08-06-2024,Startup
183,Healthcare,AI Researcher,Entry,Internship,84286,155592,22-08-2024,Startup
184,Automotive,Quant Researcher,Senior,Full-time,81464,148211,26-03-2024,Large
185,Education,Computer Vision Engineer,Entry,Remote,142464,186808,29-01-2025,Mid
186,E-commerce,Data Analyst,Entry,Contract,121357,161420,21-10-2024,Large
187,Healthcare,AI Researcher,Mid,Full-time,126266,151205,20-01-2024,Large
188,Retail,Computer Vision Engineer,Mid,Remote,43986,115213,14-09-2024,Large
189,Automotive,Data Scientist,Entry,Internship,62157,96230,29-09-2024,Large
190,Retail,AI Product Manager,Entry,Full-time,102546,120953,30-05-2024,Large
191,Tech,Data Analyst,Mid,Internship,79611,163781,28-10-2024,Mid
192,Education,AI Researcher,Senior,Full-time,142867,168105,25-01-2024,Mid
193,Retail,ML Engineer,Mid,Contract,63520,101934,11-02-2024,Mid
194,Retail,Data Scientist,Senior,Internship,116202,179210,19-05-2024,Large
195,Healthcare,Quant Researcher,Mid,Internship,137620,173474,04-11-2023,Mid
196,Retail,NLP Engineer,Entry,Internship,131485,218283,08-12-2024,Mid
197,Tech,AI Product Manager,Entry,Internship,117341,158797,27-08-2024,Startup
198,Automotive,Data Analyst,Entry,Internship,123706,167631,15-08-2024,Mid
199,Tech,Quant Researcher,Mid,Contract,43828,96329,01-04-2024,Mid
200,Education,AI Product Manager,Entry,Full-time,130984,170051,17-06-2025,Startup
201,E-commerce,Data Scientist,Entry,Internship,125831,194965,31-12-2024,Large
202,Finance,AI Product Manager,Entry,Contract,96628,121086,07-11-2024,Mid
203,Finance,NLP Engineer,Entry,Remote,85788,132802,16-02-2024,Large
204,Automotive,Quant Researcher,Mid,Internship,147975,247578,12-05-2025,Startup
205,Automotive,Data Analyst,Entry,Contract,48226,90071,24-12-2024,Mid
206,Healthcare,Data Scientist,Senior,Full-time,62447,129068,22-01-2025,Startup
207,Retail,Computer Vision Engineer,Senior,Internship,110876,127413,18-05-2024,Large
208,Education,AI Product Manager,Senior,Remote,85915,109356,13-10-2023,Startup
209,Finance,AI Product Manager,Entry,Full-time,143326,161834,09-01-2024,Large
210,Healthcare,Data Scientist,Senior,Full-time,89991,179017,01-01-2024,Mid
211,E-commerce,Computer Vision Engineer,Senior,Remote,67897,156557,08-11-2023,Mid
212,Finance,AI Product Manager,Entry,Remote,44318,101581,16-01-2024,Mid
213,Tech,Data Analyst,Mid,Internship,67657,112933,31-12-2024,Mid
214,Finance,Quant Researcher,Entry,Contract,97752,152521,29-01-2025,Large
215,Automotive,Data Scientist,Entry,Internship,93403,169785,13-01-2024,Mid
216,Automotive,NLP Engineer,Senior,Remote,143054,182950,08-01-2024,Mid
217,E-commerce,Computer Vision Engineer,Entry,Internship,123977,182190,24-10-2023,Startup
218,Finance,AI Researcher,Mid,Remote,108708,183957,09-07-2024,Large
219,Tech,Quant Researcher,Entry,Contract,42431,121809,09-09-2024,Mid
220,Automotive,AI Researcher,Entry,Full-time,129721,169068,16-03-2025,Startup
221,Automotive,ML Engineer,Mid,Contract,51999,114433,06-11-2024,Mid
222,E-commerce,Data Scientist,Senior,Full-time,133703,230141,20-06-2024,Large
223,Education,Quant Researcher,Senior,Remote,75109,126693,17-06-2025,Large
224,Automotive,Data Analyst,Senior,Contract,102227,124205,06-06-2024,Large
225,Education,AI Researcher,Mid,Remote,77125,136585,08-09-2024,Mid
226,Finance,Computer Vision Engineer,Senior,Internship,114539,151150,02-10-2024,Mid
227,Retail,Quant Researcher,Entry,Contract,42773,105072,01-10-2023,Mid
228,Finance,AI Researcher,Entry,Contract,122640,208762,13-05-2024,Mid
229,Education,AI Product Manager,Mid,Full-time,90611,152714,23-04-2024,Mid
230,Tech,AI Product Manager,Senior,Internship,61529,88876,16-12-2023,Mid
231,Tech,AI Product Manager,Mid,Contract,62907,140660,19-04-2025,Mid
232,Finance,AI Product Manager,Mid,Internship,87618,184731,01-05-2024,Mid
233,Retail,Computer Vision Engineer,Senior,Full-time,129185,169420,11-04-2025,Startup
234,Education,Data Analyst,Entry,Internship,127161,187759,21-12-2024,Startup
235,Education,NLP Engineer,Senior,Remote,91557,109518,10-12-2023,Mid
236,Tech,AI Product Manager,Entry,Remote,85776,173610,11-09-2024,Mid
237,Automotive,AI Researcher,Senior,Internship,95255,160292,09-09-2024,Mid
238,Automotive,AI Researcher,Senior,Remote,70536,137707,24-08-2024,Mid
239,Finance,AI Product Manager,Entry,Remote,56526,149136,29-10-2023,Startup
240,Finance,Quant Researcher,Senior,Remote,40077,124906,26-09-2023,Large
241,Finance,Data Analyst,Entry,Remote,136304,175873,19-08-2025,Large
242,Automotive,Computer Vision Engineer,Mid,Full-time,45264,63508,17-08-2025,Mid
243,E-commerce,Computer Vision Engineer,Senior,Internship,70448,88238,05-05-2024,Startup
244,Retail,Data Analyst,Senior,Internship,132241,182322,29-08-2024,Mid
245,Finance,Data Scientist,Senior,Contract,97077,144023,13-12-2023,Mid
246,E-commerce,Data Scientist,Senior,Internship,93070,155510,10-04-2024,Startup
247,Education,Quant Researcher,Senior,Internship,110751,196979,18-10-2024,Mid
248,Education,Data Scientist,Entry,Internship,57928,153531,29-05-2025,Mid
249,Education,AI Product Manager,Entry,Internship,139669,235176,13-09-2024,Startup
250,Education,Data Scientist,Mid,Full-time,76192,110813,25-12-2024,Mid
251,Healthcare,AI Researcher,Mid,Remote,86522,144139,04-09-2024,Large
252,Finance,NLP Engineer,Mid,Full-time,40634,94055,31-07-2024,Mid
253,Education,Computer Vision Engineer,Entry,Remote,50432,62117,15-05-2025,Startup
254,Retail,Data Scientist,Senior,Internship,92187,143257,28-05-2024,Startup
255,Education,AI Product Manager,Mid,Full-time,139231,220256,21-03-2025,Startup
256,Education,AI Product Manager,Entry,Remote,116281,126487,19-06-2024,Mid
257,Healthcare,AI Product Manager,Senior,Internship,66964,130664,15-10-2024,Large
258,Automotive,ML Engineer,Senior,Remote,72900,93392,21-10-2023,Mid
259,Retail,AI Researcher,Senior,Full-time,122910,218807,09-04-2024,Startup
260,E-commerce,NLP Engineer,Senior,Remote,60661,137033,14-08-2025,Mid
261,Finance,Data Analyst,Entry,Full-time,51191,106210,02-09-2024,Large
262,Education,Data Scientist,Entry,Contract,67972,161749,22-07-2025,Large
263,Healthcare,Computer Vision Engineer,Mid,Internship,43847,66742,30-03-2025,Startup
264,Automotive,Data Scientist,Mid,Remote,66723,83982,08-12-2024,Startup
265,E-commerce,Data Analyst,Entry,Internship,149030,200926,18-02-2024,Mid
266,Retail,Quant Researcher,Mid,Contract,42247,66979,13-11-2024,Startup
267,Education,Data Analyst,Senior,Full-time,57957,133868,18-04-2025,Mid
268,Retail,AI Product Manager,Mid,Remote,91662,156759,06-10-2024,Startup
269,Healthcare,AI Researcher,Entry,Contract,123795,160363,19-08-2025,Startup
270,Finance,AI Product Manager,Entry,Remote,92753,165745,19-08-2025,Startup
271,E-commerce,AI Researcher,Mid,Internship,94406,130758,08-06-2025,Startup
272,E-commerce,Computer Vision Engineer,Mid,Remote,105919,193927,03-02-2025,Large
273,Education,Data Scientist,Entry,Internship,129469,211237,19-02-2024,Large
274,Automotive,ML Engineer,Entry,Remote,68792,82411,14-06-2025,Large
275,Education,AI Researcher,Mid,Contract,92739,133823,10-04-2025,Mid
276,E-commerce,Computer Vision Engineer,Senior,Internship,85651,149208,29-04-2025,Startup
277,Tech,Data Scientist,Senior,Contract,51635,124521,04-03-2025,Startup
278,Tech,AI Product Manager,Mid,Contract,87231,97496,26-12-2023,Mid
279,Tech,NLP Engineer,Entry,Contract,103271,157584,19-09-2025,Startup
280,Automotive,Quant Researcher,Mid,Contract,43405,107147,14-02-2025,Large
281,Tech,Data Analyst,Mid,Contract,55825,93053,26-04-2025,Mid
282,Automotive,Data Analyst,Senior,Internship,96220,194055,13-12-2024,Mid
283,Retail,Computer Vision Engineer,Entry,Contract,123561,166771,19-01-2024,Mid
284,Finance,Data Scientist,Senior,Remote,91175,121911,03-08-2025,Large
285,E-commerce,ML Engineer,Entry,Internship,84664,173228,12-09-2024,Startup
286,Automotive,Data Analyst,Senior,Full-time,109743,171570,05-06-2025,Mid
287,E-commerce,AI Researcher,Senior,Internship,55502,113844,22-02-2024,Startup
288,Healthcare,Data Analyst,Entry,Contract,47355,136323,17-02-2025,Startup
289,Retail,Quant Researcher,Senior,Remote,143690,196277,27-09-2024,Mid
290,Tech,ML Engineer,Mid,Full-time,56560,97606,11-02-2025,Large
291,Tech,AI Researcher,Mid,Contract,149782,235152,07-04-2025,Mid
292,Automotive,AI Product Manager,Entry,Contract,127612,155925,22-10-2023,Large
293,Education,AI Researcher,Entry,Full-time,78409,151342,12-06-2025,Mid
294,Education,Data Analyst,Mid,Internship,149023,169526,11-09-2024,Large
295,Healthcare,Quant Researcher,Senior,Full-time,64779,145970,20-04-2024,Startup
296,Education,Data Analyst,Senior,Remote,69887,112524,22-10-2024,Large
297,Retail,Data Scientist,Entry,Full-time,119337,178013,08-11-2024,Mid
298,Tech,Data Analyst,Entry,Internship,139462,194245,14-01-2025,Large
299,Automotive,ML Engineer,Entry,Internship,68689,117329,12-06-2024,Mid
300,Automotive,AI Researcher,Mid,Contract,87545,175294,14-02-2025,Mid
301,Finance,Data Scientist,Mid,Contract,96034,114094,04-10-2023,Mid
302,Retail,Quant Researcher,Mid,Full-time,71002,108691,14-10-2023,Mid
303,Healthcare,Data Analyst,Mid,Full-time,48576,127886,25-11-2023,Startup
304,Retail,NLP Engineer,Senior,Contract,133128,151676,03-11-2024,Mid
305,Retail,AI Product Manager,Mid,Remote,72195,154714,12-08-2025,Large
306,E-commerce,AI Researcher,Entry,Internship,70554,81212,09-07-2025,Mid
307,E-commerce,Data Scientist,Entry,Internship,72299,109340,17-02-2024,Large
308,Tech,Computer Vision Engineer,Mid,Full-time,80922,120813,18-12-2023,Mid
309,Education,Data Analyst,Senior,Internship,115164,135686,14-11-2023,Large
310,Healthcare,Computer Vision Engineer,Entry,Remote,100207,146233,01-02-2024,Startup
311,Tech,Computer Vision Engineer,Senior,Contract,121180,193454,06-12-2023,Startup
312,Automotive,Data Scientist,Mid,Full-time,71373,133244,21-10-2024,Large
313,E-commerce,Data Scientist,Mid,Internship,41433,118102,03-05-2024,Startup
314,Healthcare,ML Engineer,Entry,Contract,134278,152472,30-11-2024,Large
315,Finance,AI Researcher,Mid,Internship,52404,71046,11-06-2025,Startup
316,Automotive,NLP Engineer,Entry,Internship,98266,145572,27-07-2024,Mid
317,Finance,Data Analyst,Mid,Contract,134179,212706,12-03-2025,Mid
318,Retail,ML Engineer,Mid,Internship,66368,81382,22-06-2024,Mid
319,Retail,AI Product Manager,Mid,Full-time,115773,215403,15-09-2024,Startup
320,E-commerce,NLP Engineer,Entry,Contract,130032,174733,19-02-2024,Startup
321,Automotive,AI Researcher,Senior,Full-time,105292,172671,22-09-2024,Large
322,Automotive,NLP Engineer,Senior,Full-time,98122,119896,18-12-2024,Large
323,Retail,AI Product Manager,Senior,Full-time,122419,186888,01-10-2024,Mid
324,Education,AI Researcher,Senior,Internship,73317,167850,01-01-2025,Startup
325,Healthcare,Data Scientist,Mid,Remote,52740,129282,25-01-2025,Mid
326,Finance,AI Product Manager,Mid,Contract,130522,169280,21-01-2024,Mid
327,Tech,NLP Engineer,Entry,Internship,146948,163508,30-07-2024,Mid
328,Tech,Quant Researcher,Senior,Internship,63681,156946,17-04-2025,Mid
329,Tech,Quant Researcher,Mid,Full-time,102993,176878,06-08-2024,Mid
330,Tech,ML Engineer,Senior,Full-time,146286,228405,02-04-2024,Large
331,Retail,Data Scientist,Senior,Internship,55546,105329,15-04-2024,Startup
332,E-commerce,Data Scientist,Senior,Remote,84124,96081,16-10-2024,Startup
333,Tech,NLP Engineer,Entry,Full-time,105170,188370,19-11-2023,Mid
334,Healthcare,Computer Vision Engineer,Mid,Full-time,55923,98036,07-10-2023,Mid
335,E-commerce,AI Researcher,Senior,Full-time,120230,164622,05-02-2025,Mid
336,Education,Data Analyst,Mid,Internship,126208,174920,22-06-2025,Large
337,Education,Quant Researcher,Senior,Remote,123659,207607,28-09-2024,Startup
338,Tech,Data Scientist,Mid,Contract,78431,154672,22-04-2025,Large
339,E-commerce,Computer Vision Engineer,Mid,Contract,60552,139539,10-03-2025,Large
340,Healthcare,Data Scientist,Senior,Internship,131559,209584,24-11-2024,Startup
341,Tech,Computer Vision Engineer,Mid,Internship,122855,194503,19-12-2024,Large
342,Healthcare,ML Engineer,Entry,Full-time,58087,119465,12-09-2024,Mid
343,Tech,AI Product Manager,Entry,Remote,60085,116808,31-08-2024,Startup
344,Education,Computer Vision Engineer,Entry,Internship,146409,165202,02-02-2025,Large
345,E-commerce,Data Analyst,Senior,Internship,120234,139093,09-06-2024,Startup
346,Education,AI Researcher,Senior,Contract,104105,197396,19-10-2024,Startup
347,Finance,NLP Engineer,Entry,Full-time,148487,177884,18-11-2023,Large
348,Automotive,Quant Researcher,Senior,Internship,80455,100773,30-11-2023,Large
349,Automotive,NLP Engineer,Senior,Full-time,115657,181953,13-10-2024,Startup
350,Tech,AI Product Manager,Senior,Contract,97381,144492,16-01-2024,Large
351,Retail,AI Researcher,Entry,Internship,55751,133772,25-12-2023,Startup
352,Retail,Computer Vision Engineer,Entry,Internship,90552,188412,23-07-2025,Mid
353,Education,ML Engineer,Entry,Contract,69230,128642,02-01-2024,Large
