job_id,skills_required
127, Keras
127,NumPy
128, Azure
128, CUDA
128, PyTorch
128, FastAPI
128,NumPy
129, Pandas
129, Scikit-learn
129, MLflow
129,Keras
130, Scikit-learn
130, Azure
130, NumPy
130, Keras
130,MLflow
131, Scikit-learn
131, Hugging Face
131, Reinforcement Learning
131, Python
131, LangChain
131,AWS
132, TensorFlow
132, Pandas
132, CUDA
132,Keras
133, Scikit-learn
133, CUDA
133,Power BI
134, TensorFlow
134, Reinforcement Learning
134, FastAPI
134, Power BI
134, LangChain
134,CUDA
135, TensorFlow
135, Excel
135, NumPy
135, MLflow
135, R
135,C++
136, GCP
136, Scikit-learn
136, CUDA
136, Python
136,Excel
137, MLflow
137, R
137, C++
137,NumPy
138, GCP
138, Power BI
138, R
138,AWS
139, Pandas
139, Scikit-learn
139, Hugging Face
139, Flask
139, C++
139,Azure
140, Pandas
140, PyTorch
140, AWS
140, C++
140, LangChain
140,SQL
141, Pandas
141, GCP
141, NumPy
141, Flask
141, LangChain
141,AWS
142, NumPy
142, Keras
142, PyTorch
142, AWS
142, LangChain
142,C++
143, Pandas
143, Scikit-learn
143, Power BI
143, LangChain
143,MLflow
144, TensorFlow
144, GCP
144, LangChain
144,NumPy
145, GCP
145, PyTorch
145, Python
145,Scikit-learn
146, Scikit-learn
146, Hugging Face
146, Reinforcement Learning
146, Keras
146,LangChain
147, Pandas
147, Azure
147, Python
147,FastAPI
148, GCP
148, CUDA
148, Flask
148,Power BI
149, SQL
149, AWS
149,PyTorch
150, SQL
150, Keras
150, Python
150,CUDA
151, TensorFlow
151, Azure
151, CUDA
151, AWS
151,NumPy
152, Keras
152, PyTorch
152,Python
153, FastAPI
153, AWS
153,TensorFlow
154, MLflow
154, LangChain
154,CUDA
155, GCP
155, Azure
155, Reinforcement Learning
155, PyTorch
155,Flask
156, TensorFlow
156, Keras
156, Power BI
156,PyTorch
157, Excel
157, Hugging Face
157, Flask
157, Reinforcement Learning
157, LangChain
157,Python
158, Azure
158, SQL
158, Hugging Face
158, Keras
158, C++
158,Flask
159, TensorFlow
159, GCP
159, NumPy
159, Keras
159, Python
159,R
160, Excel
160, Flask
160, MLflow
160, LangChain
160,Power BI
161, Azure
161, CUDA
161, Flask
161, Power BI
161,FastAPI
162, Excel
162, LangChain
162,MLflow
163, Scikit-learn
163, SQL
163, AWS
163, Power BI
163,NumPy
164, NumPy
164, Keras
164, FastAPI
164,R
165, GCP
165, NumPy
165, AWS
165,Keras
166, Reinforcement Learning
166, LangChain
166,Hugging Face
167, TensorFlow
167, Reinforcement Learning
167, AWS
167,LangChain
168, GCP
168, Hugging Face
168, Reinforcement Learning
168, R
168,FastAPI
169, Excel
169, Azure
169, SQL
169, AWS
169,Power BI
170, PyTorch
170, AWS
170,FastAPI
171, Keras
171, Python
171,CUDA
172, Excel
172, Azure
172, Hugging Face
172, FastAPI
172,Flask
173, CUDA
173, Flask
173, Reinforcement Learning
173, R
173,TensorFlow
174, Azure
174, MLflow
174, Python
174, C++
174,NumPy
175, TensorFlow
175, PyTorch
175, MLflow
175, C++
175,NumPy
176, Azure
176, NumPy
176, FastAPI
176, LangChain
176,Power BI
177, Azure
177, Hugging Face
177, Python
177, R
177,Excel
178, Pandas
178, NumPy
178, MLflow
178,Power BI
179, Scikit-learn
179, Hugging Face
179, R
179,LangChain
180, TensorFlow
180, Pandas
180, GCP
180, Azure
180, CUDA
180,Power BI
181, Scikit-learn
181, SQL
181, AWS
181,Reinforcement Learning
182, Hugging Face
182, Python
182, LangChain
182,Scikit-learn
183, NumPy
183, Flask
183, R
183, LangChain
183,Python
184, GCP
184, MLflow
184, Python
184,PyTorch
185, TensorFlow
185, Azure
185, MLflow
185, Power BI
185,Python
186, MLflow
186, FastAPI
186, R
186, C++
186,NumPy
187, Pandas
187, CUDA
187,Excel
188, GCP
188, SQL
188, NumPy
188, Keras
188, AWS
188,Scikit-learn
189, SQL
189, Reinforcement Learning
189, MLflow
189, AWS
189,PyTorch
190, GCP
190, MLflow
190, LangChain
190,FastAPI
191, CUDA
191, Power BI
191, R
191,NumPy
192, CUDA
192, PyTorch
192,Pandas
193, SQL
193, Hugging Face
193, Python
193,Azure
194, Scikit-learn
194, PyTorch
194,MLflow
195, Reinforcement Learning
195, FastAPI
195,Pandas
196, SQL
196, NumPy
196,TensorFlow
197, TensorFlow
197, Reinforcement Learning
197, R
197, C++
197,Flask
198, SQL
198, Python
198,LangChain
199, Scikit-learn
199, Hugging Face
199, Keras
199, R
199,Azure
200, AWS
200, LangChain
200,NumPy
201, Scikit-learn
201, CUDA
201, LangChain
201,C++
202, Excel
202, Azure
202, AWS
202,NumPy
203, Pandas
203, GCP
203, SQL
203, FastAPI
203, C++
203,Power BI
204, Azure
204, CUDA
204, Flask
204, FastAPI
204,MLflow
205, TensorFlow
205, MLflow
205, FastAPI
205, AWS
205, R
205,Pandas
206, PyTorch
206, Power BI
206,Python
207, CUDA
207, NumPy
207, Reinforcement Learning
207, Python
207, AWS
207,TensorFlow
208, MLflow
208, R
208,SQL
209, Azure
209, Reinforcement Learning
209, R
209, C++
209,NumPy
210, Azure
210, SQL
210, Hugging Face
210, C++
210,Power BI
211, TensorFlow
211, Pandas
211, SQL
211, AWS
211,Python
212, Flask
212, PyTorch
212, Python
212,LangChain
213, TensorFlow
213, Excel
213, Azure
213,Keras
214, CUDA
214, PyTorch
214, Power BI
214,Keras
215, Excel
215, SQL
215, PyTorch
215, AWS
215, Power BI
215,Scikit-learn
216, Hugging Face
216, NumPy
216, Keras
216, FastAPI
216, LangChain
216,Azure
217, Pandas
217, Azure
217, Flask
217, Python
217, LangChain
217,AWS
218, R
218, C++
218,Hugging Face
219, Excel
219, Scikit-learn
219, Azure
219, NumPy
219,Python
220, GCP
220, CUDA
220, Flask
220, MLflow
220,Power BI
221, Azure
221, Hugging Face
221, Reinforcement Learning
221, Python
221, AWS
221,PyTorch
222, Azure
222, Reinforcement Learning
222, MLflow
222, FastAPI
222, R
222,Pandas
223, NumPy
223, PyTorch
223, AWS
223, Power BI
223, R
223,Pandas
224, CUDA
224, NumPy
224, MLflow
224, Power BI
224,C++
225, Azure
225, R
225,Power BI
226, SQL
226, MLflow
226, AWS
226, C++
226,NumPy
227, Reinforcement Learning
227, C++
227,Azure
228, TensorFlow
228, Excel
228, Hugging Face
228, Reinforcement Learning
228, Keras
228,Power BI
229, Azure
229, Hugging Face
229, Flask
229, LangChain
229,MLflow
230, Scikit-learn
230, NumPy
230, Keras
230,SQL
231, Pandas
231, Hugging Face
231,NumPy
232, Keras
232, C++
232,Scikit-learn
233, TensorFlow
233, GCP
233, AWS
233,MLflow
234, Excel
234, Keras
234, PyTorch
234, Python
234,Flask
235, MLflow
235, Python
235,SQL
236, Excel
236, Scikit-learn
236, Azure
236, Reinforcement Learning
236,PyTorch
237, SQL
237, Hugging Face
237, Flask
237, PyTorch
237, R
237,Excel
238, TensorFlow
238, Pandas
238, Hugging Face
238, Keras
238,Scikit-learn
239, Hugging Face
239, MLflow
239, Power BI
239, LangChain
239,FastAPI
240, GCP
240, NumPy
240, Keras
240, Python
240,Pandas
241, Azure
241, CUDA
241, SQL
241, NumPy
241, Flask
241,Power BI
242, GCP
242, SQL
242, Flask
242, FastAPI
242,Keras
243, Pandas
243, CUDA
243, SQL
243, Hugging Face
243, Keras
243,Excel
244, Excel
244, PyTorch
244,CUDA
245, Scikit-learn
245, FastAPI
245, Power BI
245,Flask
246, CUDA
246, R
246, C++
246,Flask
247, TensorFlow
247, Pandas
247,R
248, Azure
248, Hugging Face
248, FastAPI
248,MLflow
249, Pandas
249, PyTorch
249, MLflow
249, FastAPI
249,NumPy
250, TensorFlow
250, Pandas
250, Excel
250, Keras
250,FastAPI
251, SQL
251, Flask
251, Reinforcement Learning
251, Keras
251, C++
251,Power BI
252, TensorFlow
252, Pandas
252, MLflow
252, R
252,FastAPI
253, Keras
253, PyTorch
253,R
254, GCP
254, Reinforcement Learning
254, C++
254,Pandas
255, Reinforcement Learning
255, LangChain
255,Azure
256, Excel
256, Scikit-learn
256, SQL
256, Python
256,Keras
257, NumPy
257, C++
257,Power BI
258, GCP
258, Hugging Face
258, FastAPI
258, R
258, C++
258,Excel
259, CUDA
259, Hugging Face
259, Flask
259, MLflow
259,Reinforcement Learning
260, GCP
260, NumPy
260, Flask
260, Power BI
260,AWS
261, TensorFlow
261, CUDA
261, Flask
261,Azure
262, Pandas
262, Scikit-learn
262,FastAPI
263, TensorFlow
263, GCP
263, SQL
263, Keras
263, C++
263,FastAPI
264, CUDA
264, Reinforcement Learning
264, Keras
264, FastAPI
264, R
264,Excel
265, GCP
265, Azure
265, CUDA
265,Excel
266, Scikit-learn
266, Hugging Face
266, PyTorch
266, Power BI
266, LangChain
266,Python
267, Excel
267, GCP
267, Python
267,Scikit-learn
268, Pandas
268, GCP
268, Hugging Face
268, MLflow
268, C++
268,FastAPI
269, Scikit-learn
269, R
269,MLflow
270, Flask
270, Reinforcement Learning
270, C++
270,SQL
271, TensorFlow
271, Excel
271, Scikit-learn
271,LangChain
272, MLflow
272, FastAPI
272,AWS
273, Hugging Face
273, Python
273,Azure
274, Azure
274, AWS
274,R
275, Pandas
275, SQL
275, Power BI
275,CUDA
276, Excel
276, Scikit-learn
276, SQL
276,Reinforcement Learning
277, Keras
277, LangChain
277,MLflow
278, Pandas
278, Scikit-learn
278, Flask
278, PyTorch
278,C++
279, Excel
279, SQL
279,AWS
280, TensorFlow
280, Keras
280, PyTorch
280, MLflow
280,Reinforcement Learning
281, TensorFlow
281, NumPy
281,Azure
282, NumPy
282, C++
282, LangChain
282,FastAPI
283, Excel
283, Scikit-learn
283, Keras
283, PyTorch
283, FastAPI
283,Flask
284, Excel
284, MLflow
284,Keras
285, CUDA
285, PyTorch
285,Azure
286, Hugging Face
286, PyTorch
286, AWS
286, R
286,CUDA
287, MLflow
287, R
287, C++
287,Pandas
288, Pandas
288, Flask
288, R
288,Python
289, TensorFlow
289, Hugging Face
289,PyTorch
290, Scikit-learn
290, Azure
290, AWS
290, R
290,Python
291, Pandas
291, CUDA
291, NumPy
291, PyTorch
291, AWS
291,Excel
292, Excel
292, Hugging Face
292, NumPy
292,LangChain
293, TensorFlow
293, Pandas
293, NumPy
293, LangChain
293,FastAPI
294, PyTorch
294, MLflow
294,AWS
295, Scikit-learn
295, Flask
295, AWS
295,PyTorch
296, TensorFlow
296, GCP
296, NumPy
296, Reinforcement Learning
296, AWS
296,SQL
297, CUDA
297, Hugging Face
297, Flask
297, MLflow
297, FastAPI
297,Excel
298, Pandas
298, Scikit-learn
298, PyTorch
298,FastAPI
299, GCP
299, Azure
299, CUDA
299, MLflow
299, C++
299,NumPy
300, TensorFlow
300, Excel
300, Keras
300, Python
300,C++
301, Excel
301, SQL
301, FastAPI
301, AWS
301, C++
301,Keras
302, TensorFlow
302, GCP
302, Azure
302, CUDA
302, Hugging Face
302,Reinforcement Learning
303, TensorFlow
303, GCP
303, PyTorch
303, Power BI
303,Pandas
304, NumPy
304, FastAPI
304, Python
304,Hugging Face
305, SQL
305, Hugging Face
305, R
305, LangChain
305,Azure
306, Scikit-learn
306, Python
306, AWS
306,PyTorch
307, Keras
307, FastAPI
307, AWS
307, R
307,Azure
308, Azure
308, CUDA
308, Hugging Face
308, MLflow
308,Keras
309, TensorFlow
309, SQL
309, PyTorch
309, FastAPI
309, AWS
309,Reinforcement Learning
310, TensorFlow
310, Excel
310, GCP
310, Scikit-learn
310,Pandas
311, Excel
311, GCP
311, Keras
311, PyTorch
311,FastAPI
312, Excel
312, CUDA
312,GCP
313, Flask
313, Reinforcement Learning
313, FastAPI
313, AWS
313, LangChain
313,SQL
314, Pandas
314, Scikit-learn
314, Azure
314, Reinforcement Learning
314,FastAPI
315, Excel
315, Azure
315, Hugging Face
315, Keras
315, FastAPI
315,LangChain
316, Scikit-learn
316, Azure
316, MLflow
316,R
317, TensorFlow
317, Flask
317, MLflow
317, R
317,NumPy
318, TensorFlow
318, Azure
318, Power BI
318, R
318,Scikit-learn
319, Scikit-learn
319, Reinforcement Learning
319, Python
319,Keras
320, SQL
320, NumPy
320, Keras
320, AWS
320,Flask
321, Pandas
321, Scikit-learn
321, Azure
321, NumPy
321,Hugging Face
322, CUDA
322, R
322,Azure
323, GCP
323, Keras
323, MLflow
323,Excel
324, Excel
324, NumPy
324, LangChain
324,Pandas
325, Scikit-learn
325, FastAPI
325, AWS
325,Pandas
326, Scikit-learn
326, Reinforcement Learning
326, Python
326, C++
326,MLflow
327, GCP
327, Azure
327, LangChain
327,FastAPI
328, Scikit-learn
328, Hugging Face
328, C++
328,Reinforcement Learning
329, Keras
329, PyTorch
329,Azure
330, TensorFlow
330, SQL
330, FastAPI
330,Pandas
331, Scikit-learn
331, NumPy
331, Power BI
331, R
331, LangChain
331,AWS
332, MLflow
332, AWS
332,C++
333, TensorFlow
333, Pandas
333, PyTorch
333, C++
333,Flask
334, Flask
334, Reinforcement Learning
334, Keras
334, PyTorch
334, R
334,Azure
335, TensorFlow
335, PyTorch
335, R
335,Scikit-learn
336, GCP
336, NumPy
336, Keras
336, C++
336,MLflow
337, Azure
337, CUDA
337, Hugging Face
337, Python
337, Power BI
337,GCP
338, Pandas
338, Excel
338, NumPy
338, MLflow
338, R
338,C++
339, MLflow
339, FastAPI
339, Power BI
339,Keras
340, Pandas
340, Flask
340, PyTorch
340, Power BI
340, R
340,Excel
341, Scikit-learn
341, R
341,Power BI
342, GCP
342, Flask
342, PyTorch
342, LangChain
342,Excel
343, Pandas
343, Scikit-learn
343, R
343,Power BI
344, NumPy
344, Python
344, LangChain
344,Reinforcement Learning
345, Reinforcement Learning
345, Keras
345, PyTorch
345,TensorFlow
346, GCP
346, Keras
346, Python
346, AWS
346,NumPy
347, Keras
347, Power BI
347,MLflow
348, Keras
348, Python
348, AWS
348, Power BI
348,TensorFlow
349, NumPy
349, MLflow
349, FastAPI
349, Power BI
349,SQL
350, GCP
350, NumPy
350, MLflow
350, C++
350,FastAPI
351, Pandas
351, FastAPI
351, Power BI
351,SQL
352, Azure
352, Python
352, Power BI
352,FastAPI
353, Excel
353, PyTorch
353,Python
354, GCP
354, Scikit-learn
354, MLflow
354, R
354,LangChain
355, TensorFlow
355, Pandas
355, CUDA
355, Power BI
355, LangChain
355,C++
356, SQL
356, NumPy
356, Reinforcement Learning
356, Power BI
356,Excel
357, CUDA
357, FastAPI
357,Flask
358, TensorFlow
358, Hugging Face
358, MLflow
358, AWS
358,Power BI
359, Excel
359, Scikit-learn
359, SQL
359, FastAPI
359, Power BI
359,Python
360, CUDA
360, NumPy
360,Reinforcement Learning
361, TensorFlow
361, Keras
361, FastAPI
361,Power BI
362, R
362, LangChain
362,Hugging Face
363, TensorFlow
363, CUDA
363, Python
363, AWS
363,Pandas
364, Excel
364, GCP
364, NumPy
364,Hugging Face
365, Reinforcement Learning
365, FastAPI
365, AWS
365, Power BI
365,LangChain
366, FastAPI
366, Python
366,CUDA
367, TensorFlow
367, Scikit-learn
367, MLflow
367,Flask
368, GCP
368, SQL
368, Hugging Face
368,Scikit-learn
369, Hugging Face
369, PyTorch
369, MLflow
369, AWS
369, LangChain
369,Reinforcement Learning
370, CUDA
370, PyTorch
370, Python
370,R
371, TensorFlow
371, CUDA
371, Flask
371, Keras
371,MLflow
372, Pandas
372, Hugging Face
372, MLflow
372, Power BI
372,CUDA
373, Reinforcement Learning
373, PyTorch
373, MLflow
373,Flask
374, TensorFlow
374, GCP
374, CUDA
374, Hugging Face
374, NumPy
374,C++
375, CUDA
375, AWS
375,Flask
376, GCP
376, PyTorch
376, Python
376, Power BI
376,R
377, CUDA
377, MLflow
377,Hugging Face
378, TensorFlow
378, PyTorch
378,FastAPI
379, CUDA
379, Keras
379,Excel
380, Azure
380, CUDA
380, MLflow
380, FastAPI
380,Power BI
381, Excel
381, GCP
381, CUDA
381, Hugging Face
381, MLflow
381,Reinforcement Learning
382, Excel
382, GCP
382, SQL
382, Power BI
382,Keras
383, Excel
383, Scikit-learn
383, Keras
383, Power BI
383,LangChain
384, CUDA
384, AWS
384,SQL
385, GCP
385, CUDA
385, Flask
385, Reinforcement Learning
385, C++
385,SQL
386, Excel
386, Scikit-learn
386, FastAPI
386, Power BI
386,C++
387, Azure
387, CUDA
387, PyTorch
387, AWS
387, Power BI
387,C++
388, TensorFlow
388, Pandas
388, Scikit-learn
388, CUDA
388, Reinforcement Learning
388,LangChain
389, SQL
389, PyTorch
389, AWS
389,Keras
390, TensorFlow
390, GCP
390, CUDA
390, MLflow
390,Power BI
391, NumPy
391, R
391,FastAPI
392, NumPy
392, R
392,FastAPI
393, GCP
393, PyTorch
393,Flask
394, Pandas
394, GCP
394, PyTorch
394, R
394,Azure
395, Azure
395, Python
395, LangChain
395,PyTorch
396, TensorFlow
396, Scikit-learn
396, Hugging Face
396, Flask
396, PyTorch
396,Reinforcement Learning
397, Pandas
397, Power BI
397,LangChain
398, MLflow
398, LangChain
398,PyTorch
399, GCP
399, PyTorch
399,SQL
400, GCP
400, Reinforcement Learning
400, Python
400, Power BI
400, R
400,C++
401, Pandas
401, NumPy
401, FastAPI
401,Reinforcement Learning
402, TensorFlow
402, Scikit-learn
402, Keras
402,Pandas
403, Hugging Face
403, AWS
403, R
403,FastAPI
404, Flask
404, PyTorch
404,C++
405, Pandas
405, AWS
405,LangChain
406, GCP
406, Scikit-learn
406, Azure
406, Python
406,AWS
407, Excel
407, NumPy
407,FastAPI
408, GCP
408, PyTorch
408,Reinforcement Learning
409, SQL
409, AWS
409, R
409,GCP
410, Azure
410, SQL
410, Python
410, AWS
410,CUDA
411, Scikit-learn
411, Flask
411, Power BI
411,Excel
412, Pandas
412, Azure
412, NumPy
412,FastAPI
413, Scikit-learn
413, Power BI
413,PyTorch
414, Scikit-learn
414, Reinforcement Learning
414, PyTorch
414, MLflow
414,Hugging Face
415, TensorFlow
415, MLflow
415, FastAPI
415, Python
415,LangChain
416, SQL
416, Python
416,Keras
417, TensorFlow
417, Flask
417, R
417,SQL
418, Pandas
418, Hugging Face
418, NumPy
418, Keras
418, R
418,Reinforcement Learning
419, CUDA
419, C++
419, LangChain
419,Python
420, NumPy
420, Reinforcement Learning
420, R
420,Keras
421, Keras
421, FastAPI
421, Python
421,TensorFlow
422, TensorFlow
422, PyTorch
422, C++
422,Pandas
423, Scikit-learn
423, CUDA
423, R
423,FastAPI
424, Flask
424, MLflow
424, AWS
424,LangChain
425, Hugging Face
425, Flask
425, FastAPI
425, LangChain
425,Excel
426, TensorFlow
426, MLflow
426,NumPy
427, Pandas
427, GCP
427, Flask
427, Keras
427, Power BI
427,TensorFlow
428, GCP
428, Hugging Face
428, Reinforcement Learning
428,TensorFlow
429, TensorFlow
429, Flask
429, Reinforcement Learning
429, Keras
429, R
429,MLflow
430, Scikit-learn
430, SQL
430, R
430,FastAPI
431, CUDA
431, Reinforcement Learning
431, C++
431,PyTorch
432, Reinforcement Learning
432, MLflow
432, C++
432,FastAPI
433, Pandas
433, Azure
433, Python
433, AWS
433, R
433,LangChain
434, Azure
434, NumPy
434, C++
434,FastAPI
435, CUDA
435, Hugging Face
435, PyTorch
435, R
435,Keras
436, Pandas
436, Azure
436, Keras
436, AWS
436, Power BI
436,Reinforcement Learning
437, CUDA
437, MLflow
437,TensorFlow
438, Azure
438, Reinforcement Learning
438, MLflow
438,R
439, Pandas
439, Excel
439, Azure
439, Hugging Face
439, Flask
439,Scikit-learn
440, GCP
440, Hugging Face
440,Power BI
441, Scikit-learn
441, R
441, LangChain
441,NumPy
442, Hugging Face
442, Keras
442, MLflow
442, AWS
442, R
442,SQL
443, Hugging Face
443, Keras
443,Pandas
444, Azure
444, SQL
444, Hugging Face
444,Excel
445, Pandas
445, Excel
445, Scikit-learn
445, CUDA
445, NumPy
445,FastAPI
446, Reinforcement Learning
446, Keras
446, PyTorch
